DATE,CONFIRMED,RECOVERED,DECEASED
15-Jun-20,476,342,18
16-Jun-20,507,294,18
17-Jun-20,583,335,30
18-Jun-20,604,399,23
19-Jun-20,809,357,19
20-Jun-20,541,374,22
21-Jun-20,596,626,21
22-Jun-20,591,606,19
23-Jun-20,571,515,19
24-Jun-20,664,470,8
25-Jun-20,636,533,15
26-Jun-20,750,464,19
27-Jun-20,606,632,19
28-Jun-20,598,593,11
29-Jun-20,681,698,12
30-Jun-20,664,578,25
01-Jul-20,564,545,21
02-Jul-20,769,592,17
03-Jul-20,972,376,14
04-Jul-20,757,557,24
05-Jul-20,1153,607,12
06-Jul-20,929,348,24
07-Jul-20,1332,518,18
08-Jul-20,1188,704,18
09-Jul-20,1206,796,17
10-Jul-20,1338,660,27
11-Jul-20,1392,902,24
12-Jul-20,1384,645,21
13-Jul-20,1654,869,21
14-Jul-20,1594,778,28
15-Jul-20,1659,762,29
